subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_198,25,2.0643,1.8161,0.2323,1.2277,0.2425,3.3302
fCMR_Siemens_018,26,1.3157,2.6456,0.1328,1.7995,0.1913,5.1054
fCMR_Siemens_113,26,2.7672,2.5346,0.0741,5.55,0.142,12.7685
fCMR_Siemens_027,26,2.4685,2.7343,0.1777,1.0832,0.3038,6.9019
fCMR_Siemens_006,26,2.4882,2.0883,2.9416,4.9966,1.9084,16.2825
fCMR_Siemens_144,26,2.1237,2.2949,0.1078,3.2142,0.3544,9.2075
fCMR_Siemens_068,26,2.8925,1.7255,0.5977,1.3528,0.6017,3.9154
fCMR_Siemens_198,26,1.9878,2.8874,0.2739,0.9077,0.2999,3.7639
fCMR_Siemens_018,27,1.5687,2.7388,0.4628,1.5428,0.4677,4.277
fCMR_Siemens_113,27,1.4535,2.4271,0.0599,4.8085,0.1302,10.5926
fCMR_Siemens_027,27,1.1276,2.7093,0.2642,2.3267,0.2846,5.344
fCMR_Siemens_006,27,1.9528,0.7843,0.1828,5.1833,0.2294,11.6486
fCMR_Siemens_144,27,1.3717,0.7612,0.19,2.5432,0.2127,6.4084
fCMR_Siemens_068,27,1.7233,2.5326,0.7699,0.302,0.8067,3.2811
fCMR_Siemens_198,27,3.0884,1.2515,0.2028,2.6352,0.2138,5.676
fCMR_Siemens_018,28,2.9169,2.2641,0.3442,0.7317,0.3819,2.5661
fCMR_Siemens_113,28,2.2551,1.1732,0.1217,9.0993,0.1439,19.074
fCMR_Siemens_027,28,1.9134,2.1414,0.3013,2.6633,0.3178,8.6115
fCMR_Siemens_006,28,1.621,1.8878,0.1825,7.5484,0.2707,17.1202
fCMR_Siemens_144,28,3.0464,2.29,0.3407,2.0702,0.9072,7.4706
fCMR_Siemens_068,28,3.0011,3.5164,0.6075,1.2222,0.6172,3.8955
fCMR_Siemens_198,28,2.4313,3.2521,0.2487,1.6225,0.2784,3.9738
fCMR_Siemens_018,29,2.9371,3.8883,0.4542,3.1703,1.1142,8.8968
fCMR_Siemens_113,29,1.6392,3.1828,0.0933,6.7711,0.1227,15.7742
fCMR_Siemens_027,29,2.6518,3.3619,0.1344,1.1642,0.3273,5.6362
fCMR_Siemens_006,29,2.8942,3.1191,0.3557,0.8619,0.499,5.9902
fCMR_Siemens_144,29,1.8651,2.9115,0.1121,2.1454,0.1784,5.9373
fCMR_Siemens_068,29,3.0276,3.0457,0.5464,0.276,0.5682,2.266
fCMR_Siemens_198,29,1.5363,3.1075,0.2109,0.6005,0.2241,2.9426
fCMR_Siemens_018,30,2.9117,3.3295,0.3625,2.066,0.747,5.1925
