subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_003,7,1.7515,2.261,0.2765,1.1706,0.2955,2.7935
fCMR_Philips_047,7,1.916,1.8615,0.2656,5.1906,0.3007,11.0706
fCMR_Philips_057,7,2.6023,3.3892,0.3073,1.1879,0.3144,2.7844
fCMR_Philips_097,7,2.3706,3.0276,0.407,0.165,0.4344,1.2789
fCMR_Philips_070,7,2.6483,2.838,0.4514,0.8751,0.489,2.7179
fCMR_Philips_068,7,2.7007,2.9163,0.2559,0.4832,0.271,1.7393
fCMR_Philips_117,8,1.5799,3.0452,0.1774,1.4756,0.2285,3.5629
fCMR_Philips_002,8,2.8435,2.1167,0.2156,1.4372,0.224,3.2298
fCMR_Philips_052,8,1.8045,2.3731,0.1298,0.4102,0.1636,1.1394
fCMR_Philips_123,8,2.2531,3.1525,0.1162,1.3775,0.162,3.349
fCMR_Philips_079,8,2.6494,2.9427,0.2261,1.6362,0.2647,3.5792
fCMR_Philips_041,8,1.3136,1.5997,0.1509,0.5462,0.1928,2.3836
fCMR_Philips_090,8,2.9783,0.9499,0.164,2.4668,0.2178,5.6513
fCMR_Philips_114,8,2.1181,2.0601,0.2698,1.5247,0.2949,3.3892
fCMR_Philips_065,8,0.9723,1.3809,0.0902,2.0566,0.1091,4.5138
fCMR_Philips_132,8,2.3456,3.1296,0.2985,4.7074,0.3035,10.7408
fCMR_Philips_031,8,1.5367,2.7396,0.1633,1.643,0.1844,4.1458
fCMR_Philips_104,8,1.2567,1.4938,0.0927,1.2448,0.217,3.7181
fCMR_Philips_094,8,1.235,2.7999,0.2128,1.2498,0.2441,3.354
fCMR_Philips_136,8,2.0643,1.8161,0.1243,0.0826,0.1313,0.5164
fCMR_Philips_087,8,1.3157,2.6456,0.3903,2.2359,0.405,5.0172
fCMR_Philips_003,8,2.7672,2.5346,0.1427,0.3888,0.1827,1.2266
fCMR_Philips_047,8,2.4685,2.7343,0.2348,4.209,0.2418,10.2209
fCMR_Philips_057,8,2.4882,2.0883,0.3598,0.9254,0.3751,2.1097
fCMR_Philips_097,8,2.1237,2.2949,0.4777,0.084,0.4918,0.4717
fCMR_Philips_070,8,2.8925,1.7255,0.3753,1.1286,0.398,2.7086
fCMR_Philips_068,8,1.9878,2.8874,0.1465,0.8365,0.1852,2.154
fCMR_Philips_117,9,1.5687,2.7388,0.2547,0.3014,0.2601,1.4679
fCMR_Philips_002,9,1.4535,2.4271,0.1332,0.9726,0.1659,2.8684
fCMR_Philips_052,9,1.1276,2.7093,0.1784,1.5083,0.2043,3.4603
fCMR_Philips_123,9,1.9528,0.7843,0.1427,0.5375,0.1873,2.3682
fCMR_Philips_079,9,1.3717,0.7612,0.2227,1.6505,0.2607,3.6272
fCMR_Philips_041,9,1.7233,2.5326,0.2664,0.9626,0.3169,2.1684
fCMR_Philips_090,9,3.0884,1.2515,0.1656,2.8308,0.1919,6.262
fCMR_Philips_114,9,2.9169,2.2641,0.2516,2.5161,0.2703,6.0797
fCMR_Philips_065,9,2.2551,1.1732,0.1404,1.318,0.1904,3.246
fCMR_Philips_132,9,1.9134,2.1414,0.2267,5.4694,0.2465,11.4801
fCMR_Philips_031,9,1.621,1.8878,0.2044,2.1947,0.2153,5.2274
fCMR_Philips_104,9,3.0464,2.29,0.1268,2.3818,0.1848,5.4104
