subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_068,24,1.3136,1.5997,0.5709,0.5798,0.5827,1.6923,1.6923,1.6923,0.5958,7.1479
fCMR_Siemens_198,24,2.9783,0.9499,0.2212,0.2212,0.2212,1.0469,1.0469,1.0469,0.26,3.5468
fCMR_Siemens_018,25,2.1181,2.0601,0.1278,0.131,0.1321,0.6109,0.6109,0.6109,0.2846,5.0754
fCMR_Siemens_113,25,0.9723,1.3809,0.0992,0.0992,0.0992,7.5492,7.5492,7.5492,0.1068,16.7184
fCMR_Siemens_027,25,2.3456,3.1296,0.1203,0.1202,0.1202,2.0051,2.0051,2.0051,0.1651,5.2651
fCMR_Siemens_006,25,1.5367,2.7396,0.3524,0.3219,0.7487,1.1505,1.1505,1.1505,0.7712,7.9752
fCMR_Siemens_144,25,1.2567,1.4938,0.1409,0.1408,0.1408,1.594,1.594,1.594,0.1829,4.7767
fCMR_Siemens_068,25,1.235,2.7999,0.6355,0.6356,0.6357,0.2319,0.2319,0.2319,0.6474,1.3828
fCMR_Siemens_198,25,2.0643,1.8161,0.2478,0.2478,0.2478,1.4852,1.4852,1.4852,0.2629,6.0721
fCMR_Siemens_018,26,1.3157,2.6456,0.168,0.1665,0.1661,1.5817,1.5817,1.5817,0.2725,5.089
fCMR_Siemens_113,26,2.7672,2.5346,0.0629,0.0629,0.0629,4.0352,4.0352,4.0352,0.0995,9.7534
fCMR_Siemens_027,26,2.4685,2.7343,0.1387,0.1387,0.1387,0.5284,0.5284,0.5284,0.1889,2.0576
fCMR_Siemens_006,26,2.4882,2.0883,0.2842,0.2842,0.2842,0.9888,0.9888,0.9888,0.3234,4.7924
fCMR_Siemens_144,26,2.1237,2.2949,0.1639,0.1639,0.1639,4.4675,4.4675,4.4675,0.186,10.7632
fCMR_Siemens_068,26,2.8925,1.7255,0.3363,0.3369,0.3372,2.0173,2.0173,2.0173,0.3663,6.0399
fCMR_Siemens_198,26,1.9878,2.8874,0.2488,0.2488,0.2489,1.4276,1.4276,1.4276,0.2679,5.0498
fCMR_Siemens_018,27,1.5687,2.7388,0.6753,0.6756,0.6758,0.9694,0.9694,0.9694,0.6826,3.4615
fCMR_Siemens_113,27,1.4535,2.4271,0.056,0.056,0.056,9.3343,9.3343,9.3343,0.1472,20.734
fCMR_Siemens_027,27,1.1276,2.7093,0.1601,0.16,0.16,1.5458,1.5458,1.5458,0.222,5.5783
fCMR_Siemens_006,27,1.9528,0.7843,0.106,0.1059,0.1058,2.5486,2.5486,2.5486,0.2025,7.1394
fCMR_Siemens_144,27,1.3717,0.7612,0.0587,0.0586,0.0586,2.1403,2.1403,2.1403,0.1354,5.7516
fCMR_Siemens_068,27,1.7233,2.5326,0.6533,0.5114,0.6537,0.535,0.535,0.535,0.6577,3.089
fCMR_Siemens_198,27,3.0884,1.2515,0.3577,0.5516,0.6361,4.4032,4.4032,4.4032,0.8716,13.5449
fCMR_Siemens_018,28,2.9169,2.2641,0.0748,0.0756,0.0759,1.4067,1.4067,1.4067,0.1864,5.2244
fCMR_Siemens_113,28,2.2551,1.1732,0.0751,0.0751,0.075,6.4962,6.4962,6.4962,0.1342,13.7746
fCMR_Siemens_027,28,1.9134,2.1414,0.1045,0.1045,0.1045,3.7777,3.7777,3.7777,0.1407,8.476
