subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_068,18,2.3819,3.0389,1.0594,0.8852,1.4482,3.7549
fCMR_Siemens_198,18,3.0398,2.7409,0.2221,1.6614,0.2758,5.9829
fCMR_Siemens_018,19,2.0013,2.3013,2.6447,12.7029,2.2502,31.3388
fCMR_Siemens_113,19,3,2.4023,0.0968,9.1197,0.1645,19.9107
fCMR_Siemens_027,19,2.3763,1.9304,0.1987,1.5661,0.2143,3.9422
fCMR_Siemens_006,19,2.6178,2.9366,0.3058,2.261,0.8458,11.6452
fCMR_Siemens_144,19,1.8828,2.0755,0.1706,2.0926,0.1928,6.2342
fCMR_Siemens_068,19,0.9968,2.5302,0.8222,5.5418,1.2158,16.2834
fCMR_Siemens_198,19,2.9908,2.5726,0.2785,3.1645,0.3246,8.5496
fCMR_Siemens_018,20,3.101,2.561,2.2908,13.7654,2.0045,30.2056
fCMR_Siemens_113,20,2.4343,2.3375,0.1701,4.4847,0.2798,10.132
fCMR_Siemens_027,20,2.8176,3.4353,0.1373,2.4484,0.205,7.3362
fCMR_Siemens_006,20,2.769,3.0514,0.4467,1.2259,0.5635,5.5392
fCMR_Siemens_144,20,1.2838,1.9633,0.1862,2.3203,0.2506,10.0046
fCMR_Siemens_068,20,2.6859,2.7749,2.0494,2.2641,1.8928,7.9725
fCMR_Siemens_198,20,2.3322,2.1564,0.3313,1.939,0.3648,6.118
fCMR_Siemens_018,21,2.5937,0.5292,1.6334,14.356,1.6509,34.7091
fCMR_Siemens_113,21,3.0412,2.3987,0.1905,4.6954,0.2134,12.1714
fCMR_Siemens_027,21,2.5906,2.2903,0.1483,1.3448,0.2235,4.2092
fCMR_Siemens_006,21,1.7936,2.1087,2.3957,6.9947,2.0899,20.3236
fCMR_Siemens_144,21,1.775,2.9489,0.2099,0.9207,0.813,8.3044
fCMR_Siemens_068,21,2.2546,2.9437,0.631,4.7293,1.0506,18.121
fCMR_Siemens_198,21,2.4948,2.0292,0.2349,2.6857,0.2524,6.8744
fCMR_Siemens_018,22,2.1347,2.034,1.9613,13.6999,2.0053,32.5002
fCMR_Siemens_113,22,1.5523,1.8928,0.0548,6.3995,0.097,14.7241
fCMR_Siemens_027,22,2.8689,2.7349,0.127,0.8884,0.1725,2.9682
fCMR_Siemens_006,22,1.711,2.3756,0.4476,3.8139,0.5343,11.1875
fCMR_Siemens_144,22,2.639,2.3974,0.085,1.0798,0.1783,4.7125
fCMR_Siemens_068,22,3.0081,2.2715,0.6845,5.9647,1.0343,17.1404
fCMR_Siemens_198,22,1.4319,3.1578,0.1989,0.437,0.2433,2.0364
fCMR_Siemens_018,23,1.0187,2.5841,1.8206,13.0658,1.8206,29.9898
fCMR_Siemens_113,23,1.7515,2.261,0.1172,10.6448,0.1605,23.7093
fCMR_Siemens_027,23,1.916,1.8615,0.2299,2.0088,0.2885,6.4635
fCMR_Siemens_006,23,2.6023,3.3892,0.9118,4.0819,1.3287,12.0278
fCMR_Siemens_144,23,2.3706,3.0276,0.3003,1.5595,0.3531,5.301
fCMR_Siemens_068,23,2.6483,2.838,0.8109,1.3063,0.8204,6.4849
fCMR_Siemens_198,23,2.7007,2.9163,0.2692,0.6428,0.432,2.1826
fCMR_Siemens_018,24,1.5799,3.0452,1.5348,17.1152,1.6873,36.4062
fCMR_Siemens_113,24,2.8435,2.1167,0.0666,5.5893,0.1354,12.4889
fCMR_Siemens_027,24,1.8045,2.3731,0.1701,2.2601,0.2267,7.0293
fCMR_Siemens_006,24,2.2531,3.1525,0.2532,1.9897,0.2885,5.383
fCMR_Siemens_144,24,2.6494,2.9427,0.323,0.3125,1.3881,5.7868
fCMR_Siemens_068,24,1.3136,1.5997,1.3855,5.3919,1.655,15.2907
fCMR_Siemens_198,24,2.9783,0.9499,0.216,0.9219,0.2449,2.8032
fCMR_Siemens_018,25,2.1181,2.0601,1.5541,11.1498,1.5415,29.4779
fCMR_Siemens_113,25,0.9723,1.3809,0.1354,10.7413,0.2655,24.3672
fCMR_Siemens_027,25,2.3456,3.1296,0.1652,1.2063,0.1883,4.6249
fCMR_Siemens_006,25,1.5367,2.7396,0.5987,5.4949,1.0715,15.5551
fCMR_Siemens_144,25,1.2567,1.4938,0.1386,3.5202,0.2357,10.3568
fCMR_Siemens_068,25,1.235,2.7999,0.6727,0.4594,0.6948,3.2371
fCMR_Siemens_198,25,2.0643,1.8161,0.247,0.8146,0.2645,3.2973
fCMR_Siemens_018,26,1.3157,2.6456,1.9334,15.8821,1.9187,37.9562
fCMR_Siemens_113,26,2.7672,2.5346,0.0235,8.5945,0.0778,20.107
