subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_132,8,2.3456,3.1296,0.2448,3.8008,0.2595,8.2481
fCMR_Philips_031,8,1.5367,2.7396,0.0584,0.4632,0.1056,2.0297
fCMR_Philips_104,8,1.2567,1.4938,0.17,1.9902,0.1857,5.2594
fCMR_Philips_094,8,1.235,2.7999,0.1379,0.1935,0.1493,1.1656
fCMR_Philips_136,8,2.0643,1.8161,0.0768,0.0234,0.1359,0.9711
fCMR_Philips_087,8,1.3157,2.6456,0.3399,2.2721,0.3491,4.9596
fCMR_Philips_003,8,2.7672,2.5346,0.121,0.1799,0.1508,0.8434
fCMR_Philips_047,8,2.4685,2.7343,0.2186,2.0536,0.2391,5.4128
fCMR_Philips_057,8,2.4882,2.0883,0.2849,1.1698,0.2982,2.8422
fCMR_Philips_097,8,2.1237,2.2949,0.3562,0.5062,0.3616,1.3028
fCMR_Philips_070,8,2.8925,1.7255,0.4151,0.4128,0.4362,1.8915
fCMR_Philips_068,8,1.9878,2.8874,0.256,0.7741,0.293,2.0134
fCMR_Philips_117,9,1.5687,2.7388,0.0914,0.3088,0.1345,1.4816
fCMR_Philips_002,9,1.4535,2.4271,0.1324,0.8404,0.1513,2.6176
fCMR_Philips_052,9,1.1276,2.7093,0.1168,1.7159,0.1697,4.4244
fCMR_Philips_123,9,1.9528,0.7843,0.1519,0.2212,0.1693,1.433
fCMR_Philips_079,9,1.3717,0.7612,0.1029,0.9334,0.1125,3.0828
fCMR_Philips_041,9,1.7233,2.5326,0.0491,0.4991,0.1474,1.58
fCMR_Philips_090,9,3.0884,1.2515,0.0881,1.4242,0.1253,3.2575
fCMR_Philips_114,9,2.9169,2.2641,0.1373,2.0766,0.1685,4.5007
fCMR_Philips_065,9,2.2551,1.1732,0.157,1.8174,0.1795,4.3703
fCMR_Philips_132,9,1.9134,2.1414,0.1927,4.4542,0.1974,9.4706
fCMR_Philips_031,9,1.621,1.8878,0.0717,0.6672,0.1071,2.1407
fCMR_Philips_104,9,3.0464,2.29,0.0963,1.661,0.1117,3.6174
fCMR_Philips_094,9,3.0011,3.5164,0.1784,1.1519,0.1836,2.6931
fCMR_Philips_136,9,2.4313,3.2521,0.0481,0.0141,0.1284,0.7857
fCMR_Philips_087,9,2.9371,3.8883,0.3436,2.3379,0.3576,5.0516
fCMR_Philips_003,9,1.6392,3.1828,0.148,0.2195,0.1703,1.3932
fCMR_Philips_047,9,2.6518,3.3619,0.4264,4.3756,0.4391,10.7514
fCMR_Philips_057,9,2.8942,3.1191,0.2456,1.5442,0.2523,3.5031
fCMR_Philips_097,9,1.8651,2.9115,0.4418,0.0466,0.4721,0.7334
fCMR_Philips_070,9,3.0276,3.0457,0.379,1.5821,0.3862,4.4176
fCMR_Philips_068,9,1.5363,3.1075,0.1871,0.7484,0.2052,2.125
fCMR_Philips_117,10,2.9117,3.3295,0.1615,0.2005,0.1879,0.6867
fCMR_Philips_002,10,2.9436,1.8089,0.1391,2.0277,0.173,5.2938
fCMR_Philips_052,10,0.8878,2.7433,0.1311,0.3926,0.1571,2.0581
fCMR_Philips_123,10,2.1198,0.489,0.1203,0.2503,0.1322,1.0727
fCMR_Philips_079,10,2.6745,2.0116,0.1097,0.7017,0.1235,1.9508
fCMR_Philips_041,10,3.0254,1.8133,0.0849,0.9032,0.1238,3.316
fCMR_Philips_090,10,1.7987,2.0138,0.1517,0.4371,0.1621,1.6821
fCMR_Philips_114,10,2.8737,2.794,0.1986,0.7578,0.2111,1.8076
